*Fit parameters table created by DEEFIT
*09| ntel mf npar alfa   mu  nu  csi  g  lambda  of_s  of_f  chi2
*14| ntel mf npar alfa   mu  nu  lambda csi gap gb cp zl zi ze of_s of_f chi2
*mf=0 2*Z; 1=Charity; 2=EPAX;
   0 1 14 0.46670 0.99961 1.00172 -0.03444 0.70250 191.28080 9.96421 9.50003 0.28885 20.00000 0.00211 0.06179 0.40788 64.73020 15.38402
   1 1 14 1.01911 0.47903 0.20000 0.71592 15.11561 0.28211 0.77745 9.25512 0.01574 19.99999 0.03690 0.26229 0.00000 51.00020 17.83111
   2 1 14 1.08456 0.44399 1.01803 1.66351 15.78811 1024.20025 0.83451 25.71816 0.01376 19.99998 0.06237 0.00000 0.25468 62.47101 12.97472
   3 1 14 0.97126 0.51314 0.90587 -0.03975 6.82374 107.71005 2.36846 10.81503 0.03318 19.99968 0.01043 0.27927 0.00000 23.06882 16.49307
   4 1 14 1.01834 0.48754 0.31025 0.66163 14.96831 0.58524 0.05151 10.14365 0.00131 2.94669 15.47080 10.45582 0.08721 73.41826 11.21119
   5 1 14 1.02193 0.49867 0.20017 0.82810 14.49126 0.33361 0.90437 9.86800 0.02981 19.99832 0.02354 0.12964 0.26598 60.28709 16.88874
   6 1 14 1.51737 0.00000 0.96667 -0.05871 1.89007 161.57379 3.23685 9.69379 0.07561 19.99999 0.00610 0.17571 0.05954 48.19100 13.50622
   7 1 14 1.01419 0.49494 0.70930 0.34998 14.99394 0.00109 0.09970 9.09440 0.00468 12.92932 0.28373 0.05843 0.23022 67.68488 13.84393
   8 1 14 1.03717 0.49086 0.35403 0.66735 14.63602 0.00100 0.59506 7.85864 0.02698 19.99579 0.03569 0.20033 0.20628 39.31380 12.66643
   9 0 14 1.09464 0.46053 1.03305 1.57449 14.78003 868.98638 0.17768 19.60826 0.00397 19.63641 0.31858 0.00022 0.29196 82.88601 8.26365
  10 0 14 0.98247 0.57766 0.89984 -0.03164 2.74676 132.34456 6.45535 12.26437 0.09124 20.00000 0.00337 0.25424 0.00000 54.64997 6.98261
  11 0 14 1.04539 0.45947 1.04298 1.90479 15.07764 566.92369 0.28517 13.41455 0.00726 19.96685 0.10101 0.00071 0.29146 74.60257 14.56141
  12 0 14 1.53078 0.00000 1.07430 0.03416 6.87157 287.38723 0.93020 6.32176 0.05958 19.99971 0.02531 0.16895 0.30219 28.54308 15.06554
  13 0 14 0.87184 0.13857 1.11923 0.64737 19.05380 985.02946 0.18727 11.45784 0.01122 7.39972 0.42611 0.00467 0.28281 18.25890 8.65543
  14 0 14 1.06217 0.43925 1.06973 1.99999 15.46937 628.50678 0.20829 9.14060 0.00663 5.67378 0.32713 0.00020 0.25846 66.36756 7.88294
