* Neutron Wall position calibration
* Position is calculated via : Xcm = ((TLeft-TRight-Offset)/2)*c'
*Detector    Offset (ns)     c' (cm/ns)
NWAbar01    -2.759697946    14.67961165
NWAbar02    -1.098510288    14.13084112
NWAbar03    -1.375410794    14.82352941
NWAbar04    -4.775542166    14.97029703
NWAbar05    -3.61511136     14.26415094
NWAbar06    -1.857001083    14.53846154
NWAbar07    -1.624585397    14.82352941
NWAbar08    2.765308497     14.4
NWAbar09    3.449257142     14.82352941
NWAbar10    12.50615581     14.26415094
NWAbar11    4.905840953     14.67961165
NWAbar12    1.419769935     14.53846154
NWAbar13    2.042324731     14.26415094
NWAbar14    4.070477124     14.4
NWAbar15    7.266957517     14.4
NWAbar16    0.595871268     14.4
NWAbar17    -2.725137006    14.67961165
NWAbar18    -1.174927764    14.67961165
NWAbar19    -2.623187203    14.67961165
NWAbar20    -2.484989605    14.67961165
NWAbar21    2.842739869     14.26415094
NWAbar22    5.835914379     14.4
NWAbar23    -1.773413009    15.12
NWAbar24    -1.248225997    14.53846154
