*numbar	a	b	c	d	e
NWAbar01	170.547	-0.09236	0.008435	-2.80E-05	1.00011
NWAbar02	142.639	0.031045	0.00902	0.000248	0.999013
NWAbar03	126.473	-0.12561	0.0102	0.000433	0.998273
NWAbar04	218.177	-0.11154	0.008522	0.00034	0.998645
NWAbar05	172.149	-0.11888	0.009899	-7.00E-05	1.00028
NWAbar06	265.83	-0.07708	0.009392	0.000215	0.999142
NWAbar07	143.705	-0.00883	0.008839	0.000649	0.997415
NWAbar08	267.92	-0.01654	0.009059	0.000137	0.999452
NWAbar09	256.346	-0.06836	0.007867	6.73E-05	0.999732
NWAbar10	250.055	0.101972	0.010789	0.000815	0.996751
NWAbar11	227.681	-0.02783	0.009699	-6.47E-05	1.00026
NWAbar12	174.977	0.061704	0.009735	5.51E-04	0.997806
NWAbar13	247.229	0.010763	0.010669	-0.0001	1.0004
NWAbar14	255.271	-0.01597	0.010176	-5.10E-05	1.0002
NWAbar15	202.265	0.064369	0.011039	-0.00036	1.00143
NWAbar16	241.837	-0.11337	0.0105	-0.0005	1.002
NWAbar17	251.471	-0.01699	0.008908	-0.00089	1.00356
NWAbar18	195.704	-0.07224	0.011801	-9.33E-05	1.00037
NWAbar19	224.944	-0.02517	0.008746	1.22E-05	0.999951
NWAbar20	251.153	0.023859	0.010056	0.000668	0.997337
NWAbar21	274.988	0.011138	0.009624	0.000942	0.996245
NWAbar22	268.544	0.11964	0.008891	0.00061	0.997569
NWAbar23	214.225	-0.0132	0.007683	-0.0006	1.00238
NWAbar24	155.101	-0.16004	0.009803	-0.00027	1.00106
