*//p0/errorofp0/p1/errorofp1/p2/errorofp2/ from pol2 fitting in "log(R/L) versus Xcm" plot
NWAbar01 0.126074 0.00417426 0.0302937 5.28019e-05 -1.19851e-06 1.07339e-06
NWAbar02 -0.00121411 0.00548581 0.0340516 6.59984e-05 7.47123e-06 1.33444e-06
NWAbar03 -0.570307 0.00559996 0.0331105 7.83408e-05 1.26206e-05 1.50756e-06
NWAbar04 0.0114909 0.00482978 0.0251268 5.58877e-05 -1.2195e-06 1.14935e-06
NWAbar05 -0.0739357 0.0043883 0.030365 5.45275e-05 -5.83047e-06 1.10035e-06
NWAbar06 0.165101 0.00383115 0.0217729 5.01931e-05 -4.72193e-06 1.0021e-06
NWAbar07 0.169009 0.0055153 0.0322475 6.46423e-05 -8.30695e-06 1.3408e-06
NWAbar08 0.0767263 0.0043597 0.0224426 5.224e-05 -4.29046e-06 1.11178e-06
NWAbar09 0.0414156 0.0045175 0.023597 5.33947e-05 -7.18689e-07 1.08715e-06
NWAbar10 -0.153649 0.00462396 0.0255508 5.54658e-05 -4.16526e-06 1.18215e-06
NWAbar11 0.0288845 0.00451209 0.0245447 5.40142e-05 -5.11443e-06 1.11633e-06
NWAbar12 0.0808132 0.00433743 0.0292815 5.43431e-05 -1.00721e-05 1.11039e-06
NWAbar13 0.059375 0.00452199 0.025169 5.31948e-05 -2.67686e-06 1.11352e-06
NWAbar14 0.115639 0.00460782 0.0254264 5.86582e-05 -4.85458e-07 1.25397e-06
NWAbar15 -0.164103 0.00456106 0.0290042 5.80101e-05 -2.94096e-06 1.21593e-06
NWAbar16 0.0202341 0.00461833 0.0253618 5.45102e-05 -4.48993e-06 1.15522e-06
NWAbar17 0.0759894 0.00450562 0.0240849 5.50571e-05 -1.0423e-06 1.14227e-06
NWAbar18 0.0623366 0.0047498 0.0271865 5.71872e-05 -4.27422e-06 1.15619e-06
NWAbar19 0.413285 0.00447628 0.0254574 6.16237e-05 -1.03763e-05 1.29488e-06
NWAbar20 0.00062024 0.00440993 0.0250675 5.39239e-05 -4.9842e-06 1.13268e-06
NWAbar21 0.0505648 0.0043549 0.0228153 5.26923e-05 -2.27388e-06 1.136e-06
NWAbar22 -0.00707297 0.00444113 0.0246716 5.40297e-05 1.65937e-06 1.16437e-06
NWAbar23 0.0584354 0.00494821 0.0250806 6.04923e-05 1.01528e-06 1.23993e-06
NWAbar24 -0.817309 0.00859846 0.0340353 0.000152392 -5.53789e-07 2.68248e-06
