*numbar          a          b         c           d        e
NWBbar01   273.03   -0.01116   0.009178  -0.12088    1.09221
NWBbar02   273.857  -0.01959   0.008397  -0.11147    1.08581
NWBbar03   208.727  -0.09307   0.010769  -0.12463    1.07935
NWBbar04   290.017  -0.02745   0.008555  -0.110538   1.08339
NWBbar05   343.827   0.055224  0.009055  -0.11842    1.09379
NWBbar06   283.994  -0.04965   0.009198  -0.11853    1.08586
NWBbar07   268.845  -0.02281   0.009488  -0.114691   1.07462
NWBbar08   251.16    0.054135  0.009444  -0.10655    1.08893
NWBbar09   239.26    0.001414  0.009121  -0.11933    1.08834
NWBbar10   309.891   0.058382  0.008702  -0.092947   1.07158
NWBbar11   254.644  -0.0373    0.00881   -0.11218    1.09316
NWBbar12   292.096   0.095228  0.008545  -0.0999966  1.07816
NWBbar13   325.83    0.095255  0.00951   -0.11237    1.09482
NWBbar14   227.825   0.006205  0.009309  -0.11844    1.09203
NWBbar15   251.583   0.08604   0.00857   -0.15609    1.09975
NWBbar16   269.585  -0.03842   0.007823  -0.11895    1.1059
NWBbar17   227.688  -0.09886   0.008424  -0.1363     1.11504
NWBbar18   247.296  -0.00042   0.009686  -0.0945128  1.0959
NWBbar19   246.628  -0.12881   0.008617  -0.12361    1.09272
NWBbar20   284.823   0.06998   0.009365  -0.11997    1.07364
NWBbar21   290.443  -0.09456   0.008789  -0.095334   1.06744
NWBbar22   298.94   -0.02643   0.00857   -0.0852019  1.07782
NWBbar23   255.912  -0.00743   0.0067    -0.091489   1.11038
NWBbar24   347.145  -0.08439   0.0106    -0.13883    1.09656
