*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.0444735 	0.001000	0.0573091 	0.001000	0.0749457 	0.001000	0.0749457 	0.001000	0.030134  	0.001000	0.0271751 	
0.002000	0.0525235 	0.002000	0.0634516 	0.002000	0.0820331 	0.002000	0.0820331 	0.002000	0.0441187 	0.002000	0.0193329 	
0.005000	0.0743841 	0.005000	0.0841701 	0.005000	0.101278  	0.005000	0.101278  	0.005000	0.0730281 	0.005000	0.011142  	
0.008000	0.0925906 	0.008000	0.102654  	0.008000	0.116837  	0.008000	0.116837  	0.008000	0.0945706 	0.008000	0.00808319	
0.010000	0.103328  	0.010000	0.113829  	0.010000	0.12585   	0.010000	0.12585   	0.010000	0.106919  	0.010000	0.00690986	
0.015000	0.121404  	0.015000	0.136262  	0.015000	0.143448  	0.015000	0.143448  	0.015000	0.131141  	0.015000	0.00512056	
0.020000	0.135565  	0.020000	0.151617  	0.020000	0.158353  	0.020000	0.158353  	0.020000	0.147489  	0.020000	0.00412801	
0.025000	0.150957  	0.025000	0.168619  	0.025000	0.172471  	0.025000	0.172471  	0.025000	0.165138  	0.025000	0.00348087	
0.030000	0.163435  	0.030000	0.184109  	0.030000	0.186954  	0.030000	0.186954  	0.030000	0.181086  	0.030000	0.00302223	
0.035000	0.173415  	0.035000	0.198146  	0.035000	0.200491  	0.035000	0.200491  	0.035000	0.195468  	0.035000	0.00267855	
0.040000	0.181072  	0.040000	0.211074  	0.040000	0.213136  	0.040000	0.213136  	0.040000	0.208663  	0.040000	0.00241047	
0.045000	0.186527  	0.045000	0.222911  	0.045000	0.224927  	0.045000	0.224927  	0.045000	0.220716  	0.045000	0.00219497	
0.050000	0.189939  	0.050000	0.233675  	0.050000	0.235897  	0.050000	0.235897  	0.050000	0.231657  	0.050000	0.00201761	
