*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.951871  	0.001000	0.233884  	0.001000	0.233359  	0.001000	0.233359  	0.001000	0.114481  	0.001000	0.119404  	
0.002000	1.04566   	0.002000	0.26185   	0.002000	0.264437  	0.002000	0.264437  	0.002000	0.158568  	0.002000	0.103282  	
0.005000	1.2863    	0.005000	0.317617  	0.005000	0.328504  	0.005000	0.328504  	0.005000	0.24392   	0.005000	0.0736967 	
0.008000	1.47459   	0.008000	0.366922  	0.008000	0.382925  	0.008000	0.382925  	0.008000	0.308416  	0.008000	0.0585063 	
0.010000	1.58093   	0.010000	0.39946   	0.010000	0.417577  	0.010000	0.417577  	0.010000	0.347639  	0.010000	0.0518217 	
0.015000	1.85131   	0.015000	0.489189  	0.015000	0.500994  	0.015000	0.500994  	0.015000	0.448319  	0.015000	0.0408699 	
0.020000	2.06794   	0.020000	0.580006  	0.020000	0.58176   	0.020000	0.58176   	0.020000	0.545877  	0.020000	0.0341294 	
0.025000	2.31167   	0.025000	0.661245  	0.025000	0.66112   	0.025000	0.66112   	0.025000	0.631745  	0.025000	0.0295005 	
0.030000	2.51871   	0.030000	0.736982  	0.030000	0.734614  	0.030000	0.734614  	0.030000	0.710885  	0.030000	0.0260968 	
0.035000	2.68913   	0.035000	0.806639  	0.035000	0.802854  	0.035000	0.802854  	0.035000	0.783165  	0.035000	0.0234737 	
0.040000	2.82351   	0.040000	0.870052  	0.040000	0.865603  	0.040000	0.865603  	0.040000	0.848671  	0.040000	0.0213818 	
0.045000	2.92253   	0.045000	0.92593   	0.045000	0.922713  	0.045000	0.922713  	0.045000	0.906444  	0.045000	0.0194864 	
0.050000	2.98371   	0.050000	0.975999  	0.050000	0.974821  	0.050000	0.974821  	0.050000	0.957927  	0.050000	0.0180724 	
0.055000	3.11007   	0.055000	1.02269   	0.055000	1.02212   	0.055000	1.02212   	0.055000	1.00582   	0.055000	0.0168692 	
0.060000	3.21658   	0.060000	1.0651    	0.060000	1.06508   	0.060000	1.06508   	0.060000	1.04927   	0.060000	0.0158314 	
0.070000	3.37602   	0.070000	1.13923   	0.070000	1.13989   	0.070000	1.13989   	0.070000	1.1251    	0.070000	0.0141285 	
0.080000	3.54618   	0.080000	1.20614   	0.080000	1.20284   	0.080000	1.20284   	0.080000	1.19335   	0.080000	0.012786  	
0.090000	3.67298   	0.090000	1.26506   	0.090000	1.25679   	0.090000	1.25679   	0.090000	1.25336   	0.090000	0.0116974 	
0.100000	3.76732   	0.100000	1.31785   	0.100000	1.30383   	0.100000	1.30383   	0.100000	1.30706   	0.100000	0.010795  	
0.120000	3.80111   	0.120000	1.39776   	0.120000	1.38269   	0.120000	1.38269   	0.120000	1.38838   	0.120000	0.00938131	
0.140000	3.79688   	0.140000	1.4624    	0.140000	1.44664   	0.140000	1.44664   	0.140000	1.45407   	0.140000	0.0083205 	
0.160000	3.80225   	0.160000	1.52435   	0.160000	1.49938   	0.160000	1.49938   	0.160000	1.51686   	0.160000	0.0074922 	
0.180000	3.82462   	0.180000	1.58      	0.180000	1.5431    	0.180000	1.5431    	0.180000	1.57317   	0.180000	0.00682576	
0.200000	3.84445   	0.200000	1.62539   	0.200000	1.5793    	0.200000	1.5793    	0.200000	1.61911   	0.200000	0.00627685	
0.250000	3.79745   	0.250000	1.7106    	0.250000	1.64395   	0.250000	1.64395   	0.250000	1.70535   	0.250000	0.00524796	
0.300000	3.78181   	0.300000	1.77146   	0.300000	1.68133   	0.300000	1.68133   	0.300000	1.76694   	0.300000	0.0045275 	
0.350000	3.76006   	0.350000	1.80424   	0.350000	1.7118    	0.350000	1.7118    	0.350000	1.80025   	0.350000	0.00399247	
0.400000	3.75505   	0.400000	1.8308    	0.400000	1.72785   	0.400000	1.72785   	0.400000	1.82722   	0.400000	0.00357811	
0.450000	3.72865   	0.450000	1.83718   	0.450000	1.7313    	0.450000	1.7313    	0.450000	1.83394   	0.450000	0.00324696	
0.500000	3.68137   	0.500000	1.82797   	0.500000	1.72521   	0.500000	1.72521   	0.500000	1.82499   	0.500000	0.00297573	
0.600000	3.42911   	0.600000	1.79001   	0.600000	1.69445   	0.600000	1.69445   	0.600000	1.78745   	0.600000	0.00255688	
0.700000	3.16493   	0.700000	1.73302   	0.700000	1.65402   	0.700000	1.65402   	0.700000	1.73077   	0.700000	0.00224748	
0.800000	3.01614   	0.800000	1.67904   	0.800000	1.60956   	0.800000	1.60956   	0.800000	1.67703   	0.800000	0.0020089 	
0.900000	2.87528   	0.900000	1.62489   	0.900000	1.56392   	0.900000	1.56392   	0.900000	1.62308   	0.900000	0.00181889	
1.000000	2.74367   	1.000000	1.57234   	1.000000	1.5186    	1.000000	1.5186    	1.000000	1.57068   	1.000000	0.00166374	
1.250000	2.43813   	1.250000	1.43784   	1.250000	1.40488   	1.250000	1.40488   	1.250000	1.43646   	1.250000	0.00137629	
1.500000	2.19149   	1.500000	1.32508   	1.500000	1.30605   	1.500000	1.30605   	1.500000	1.3239    	1.500000	0.00117775	
1.750000	1.99007   	1.750000	1.23037   	1.750000	1.22008   	1.750000	1.22008   	1.750000	1.22933   	1.750000	0.00103185	
2.000000	1.81292   	2.000000	1.14435   	2.000000	1.14451   	2.000000	1.14451   	2.000000	1.14343   	2.000000	0.000919807	
2.250000	1.66685   	2.250000	1.07069   	2.250000	1.07763   	2.250000	1.07763   	2.250000	1.06986   	2.250000	0.000830888	
2.500000	1.5132    	2.500000	1.00867   	2.500000	1.01814   	2.500000	1.01814   	2.500000	1.00792   	2.500000	0.000758493	
3.000000	1.33568   	3.000000	0.908854  	3.000000	0.917394  	3.000000	0.917394  	3.000000	0.908206  	3.000000	0.000647498	
3.500000	1.1975    	3.500000	0.830989  	3.500000	0.835572  	3.500000	0.835572  	3.500000	0.830423  	3.500000	0.000566173	
4.000000	1.08676   	4.000000	0.767964  	4.000000	0.768077  	4.000000	0.768077  	4.000000	0.76746   	4.000000	0.000503872	
4.500000	0.99592   	4.500000	0.715657  	4.500000	0.711585  	4.500000	0.711585  	4.500000	0.715203  	4.500000	0.000454528	
5.000000	0.919996  	5.000000	0.67144   	5.000000	0.663661  	5.000000	0.663661  	5.000000	0.671026  	5.000000	0.000414421	
5.500000	0.855541  	5.500000	0.628887  	5.500000	0.622507  	5.500000	0.622507  	5.500000	0.628506  	5.500000	0.000381144	
6.000000	0.800104  	6.000000	0.591868  	6.000000	0.586777  	6.000000	0.586777  	6.000000	0.591515  	6.000000	0.000353061	
6.500000	0.751888  	6.500000	0.559338  	6.500000	0.555454  	6.500000	0.555454  	6.500000	0.559008  	6.500000	0.000329027	
7.000000	0.709549  	7.000000	0.530499  	7.000000	0.527754  	7.000000	0.527754  	7.000000	0.530191  	7.000000	0.000308212	
7.500000	0.672057  	7.500000	0.505155  	7.500000	0.503068  	7.500000	0.503068  	7.500000	0.504865  	7.500000	0.000289998	
8.000000	0.638613  	8.000000	0.482366  	8.000000	0.480916  	8.000000	0.480916  	8.000000	0.482092  	8.000000	0.00027392	
8.500000	0.608585  	8.500000	0.461751  	8.500000	0.460914  	8.500000	0.460914  	8.500000	0.461491  	8.500000	0.000259617	
9.000000	0.581466  	9.000000	0.443001  	9.000000	0.442754  	9.000000	0.442754  	9.000000	0.442754  	9.000000	0.000246805	
