*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.201352  	0.001000	0.179084  	0.001000	0.171302  	0.001000	0.171302  	0.001000	0.106742  	0.001000	0.0723418 	
0.002000	0.225388  	0.002000	0.195115  	0.002000	0.185207  	0.002000	0.185207  	0.002000	0.139866  	0.002000	0.0552488 	
0.005000	0.279885  	0.005000	0.234338  	0.005000	0.221191  	0.005000	0.221191  	0.005000	0.200111  	0.005000	0.034227  	
0.008000	0.321265  	0.008000	0.266213  	0.008000	0.251313  	0.008000	0.251313  	0.008000	0.240572  	0.008000	0.0256414 	
0.010000	0.344668  	0.010000	0.284749  	0.010000	0.269027  	0.010000	0.269027  	0.010000	0.262578  	0.010000	0.022171  	
0.015000	0.403069  	0.015000	0.32428   	0.015000	0.307465  	0.015000	0.307465  	0.015000	0.307481  	0.015000	0.0167987 	
0.020000	0.449193  	0.020000	0.357236  	0.020000	0.346272  	0.020000	0.346272  	0.020000	0.343606  	0.020000	0.01363   	
0.025000	0.499676  	0.025000	0.394762  	0.025000	0.384171  	0.025000	0.384171  	0.025000	0.383203  	0.025000	0.0115593 	
0.030000	0.542144  	0.030000	0.429841  	0.030000	0.417344  	0.030000	0.417344  	0.030000	0.419742  	0.030000	0.0100991 	
0.035000	0.572301  	0.035000	0.460498  	0.035000	0.448947  	0.035000	0.448947  	0.035000	0.451503  	0.035000	0.00899439	
0.040000	0.594697  	0.040000	0.486722  	0.040000	0.479014  	0.040000	0.479014  	0.040000	0.478595  	0.040000	0.00812627	
0.045000	0.610302  	0.045000	0.510962  	0.045000	0.507579  	0.045000	0.507579  	0.045000	0.503538  	0.045000	0.00742421	
0.050000	0.619651  	0.050000	0.533297  	0.050000	0.534671  	0.050000	0.534671  	0.050000	0.526453  	0.050000	0.0068435 	
0.055000	0.642865  	0.055000	0.558361  	0.055000	0.560321  	0.055000	0.560321  	0.055000	0.552006  	0.055000	0.00635434	
0.060000	0.662245  	0.060000	0.581973  	0.060000	0.58456   	0.060000	0.58456   	0.060000	0.576037  	0.060000	0.0059361 	
0.070000	0.690788  	0.070000	0.624938  	0.070000	0.628948  	0.070000	0.628948  	0.070000	0.619681  	0.070000	0.00525708	
0.080000	0.722462  	0.080000	0.661728  	0.080000	0.668137  	0.080000	0.668137  	0.080000	0.657     	0.080000	0.00472804	
0.090000	0.746093  	0.090000	0.693317  	0.090000	0.702467  	0.090000	0.702467  	0.090000	0.689014  	0.090000	0.00430313	
0.100000	0.763823  	0.100000	0.720126  	0.100000	0.732302  	0.100000	0.732302  	0.100000	0.716172  	0.100000	0.00395367	
0.120000	0.769982  	0.120000	0.762897  	0.120000	0.78      	0.120000	0.78      	0.120000	0.759485  	0.120000	0.00341132	
0.140000	0.774234  	0.140000	0.797263  	0.140000	0.8142    	0.140000	0.8142    	0.140000	0.794255  	0.140000	0.00300848	
0.160000	0.776057  	0.160000	0.820311  	0.160000	0.837639  	0.160000	0.837639  	0.160000	0.817615  	0.160000	0.00269647	
0.180000	0.777987  	0.180000	0.834988  	0.180000	0.852681  	0.180000	0.852681  	0.180000	0.832541  	0.180000	0.00244707	
0.200000	0.780871  	0.200000	0.843692  	0.200000	0.861288  	0.200000	0.861288  	0.200000	0.84145   	0.200000	0.00224279	
0.250000	0.771665  	0.250000	0.849825  	0.250000	0.864192  	0.250000	0.864192  	0.250000	0.847962  	0.250000	0.00186273	
0.300000	0.768664  	0.300000	0.84797   	0.300000	0.852427  	0.300000	0.852427  	0.300000	0.846371  	0.300000	0.00159891	
0.350000	0.766539  	0.350000	0.842794  	0.350000	0.835344  	0.350000	0.835344  	0.350000	0.84139   	0.350000	0.0014043 	
0.400000	0.770283  	0.400000	0.843403  	0.400000	0.82251   	0.400000	0.82251   	0.400000	0.842149  	0.400000	0.00125438	
0.450000	0.77184   	0.450000	0.843367  	0.450000	0.806993  	0.450000	0.806993  	0.450000	0.842232  	0.450000	0.00113509	
0.500000	0.770868  	0.500000	0.841901  	0.500000	0.790502  	0.500000	0.790502  	0.500000	0.840864  	0.500000	0.00103775	
0.600000	0.739491  	0.600000	0.818878  	0.600000	0.75672   	0.600000	0.75672   	0.600000	0.81799   	0.600000	0.00088811	
0.700000	0.694371  	0.700000	0.784681  	0.700000	0.723925  	0.700000	0.723925  	0.700000	0.783903  	0.700000	0.000778136	
0.800000	0.668522  	0.800000	0.744455  	0.800000	0.694274  	0.800000	0.694274  	0.800000	0.743761  	0.800000	0.000693678	
0.900000	0.642831  	0.900000	0.707045  	0.900000	0.667297  	0.900000	0.667297  	0.900000	0.706418  	0.900000	0.000626646	
1.000000	0.617577  	1.000000	0.6719    	1.000000	0.64256   	1.000000	0.64256   	1.000000	0.671328  	1.000000	0.000572066	
1.250000	0.558566  	1.250000	0.610374  	1.250000	0.586734  	1.250000	0.586734  	1.250000	0.609903  	1.250000	0.000471352	
1.500000	0.5069    	1.500000	0.557827  	1.500000	0.539489  	1.500000	0.539489  	1.500000	0.557425  	1.500000	0.000402121	
1.750000	0.461993  	1.750000	0.51248   	1.750000	0.500069  	1.750000	0.500069  	1.750000	0.512128  	1.750000	0.000351435	
2.000000	0.424833  	2.000000	0.475423  	2.000000	0.46627   	2.000000	0.46627   	2.000000	0.47511   	2.000000	0.000312629	
2.250000	0.39407   	2.250000	0.441555  	2.250000	0.436822  	2.250000	0.436822  	2.250000	0.441273  	2.250000	0.00028191	
2.500000	0.361279  	2.500000	0.41241   	2.500000	0.410891  	2.500000	0.410891  	2.500000	0.412153  	2.500000	0.000256953	
3.000000	0.320423  	3.000000	0.363416  	3.000000	0.367305  	3.000000	0.367305  	3.000000	0.363197  	3.000000	0.000218791	
3.500000	0.288294  	3.500000	0.326115  	3.500000	0.332137  	3.500000	0.332137  	3.500000	0.325924  	3.500000	0.000190915	
4.000000	0.262345  	4.000000	0.296367  	4.000000	0.303209  	4.000000	0.303209  	4.000000	0.296197  	4.000000	0.000169613	
4.500000	0.240934  	4.500000	0.271908  	4.500000	0.279024  	4.500000	0.279024  	4.500000	0.271755  	4.500000	0.000152775	
5.000000	0.222953  	5.000000	0.251362  	5.000000	0.258522  	5.000000	0.258522  	5.000000	0.251223  	5.000000	0.000139115	
5.500000	0.207629  	5.500000	0.234053  	5.500000	0.240924  	5.500000	0.240924  	5.500000	0.233925  	5.500000	0.000127798	
6.000000	0.194406  	6.000000	0.219086  	6.000000	0.225657  	6.000000	0.225657  	6.000000	0.218968  	6.000000	0.000118261	
6.500000	0.182875  	6.500000	0.206007  	6.500000	0.212288  	6.500000	0.212288  	6.500000	0.205897  	6.500000	0.000110109	
7.000000	0.172725  	7.000000	0.194474  	7.000000	0.200481  	7.000000	0.200481  	7.000000	0.194371  	7.000000	0.000103056	
7.500000	0.163719  	7.500000	0.184224  	7.500000	0.189978  	7.500000	0.189978  	7.500000	0.184127  	7.500000	9.68919e-05	
8.000000	0.155672  	8.000000	0.175052  	8.000000	0.180572  	8.000000	0.180572  	8.000000	0.174961  	8.000000	9.14553e-05	
8.500000	0.148435  	8.500000	0.166794  	8.500000	0.172098  	8.500000	0.172098  	8.500000	0.166708  	8.500000	8.66229e-05	
9.000000	0.141891  	9.000000	0.159319  	9.000000	0.164423  	9.000000	0.164423  	9.000000	0.159237  	9.000000	8.22979e-05	
9.500000	0.135943  	9.500000	0.152519  	9.500000	0.157437  	9.500000	0.157437  	9.500000	0.15244   	9.500000	7.84032e-05	
10.000000	0.130511  	10.000000	0.150782  	10.000000	0.151051  	10.000000	0.151051  	10.000000	0.150707  	10.000000	7.48766e-05	
11.000000	0.120948  	11.000000	0.139808  	11.000000	0.139662  	11.000000	0.139728  	11.000000	0.13974   	11.000000	6.87346e-05	
12.000000	0.112793  	12.000000	0.130412  	12.000000	0.12996   	12.000000	0.130067  	12.000000	0.130349  	12.000000	6.35631e-05	
13.000000	0.105752  	13.000000	0.122275  	13.000000	0.121595  	13.000000	0.121729  	13.000000	0.122216  	13.000000	5.91462e-05	
14.000000	0.0996084 	14.000000	0.115159  	14.000000	0.11431   	14.000000	0.114462  	14.000000	0.115104  	14.000000	5.53276e-05	
15.000000	0.0941984 	15.000000	0.108882  	15.000000	0.107911  	15.000000	0.108073  	15.000000	0.10883   	15.000000	5.19921e-05	
16.000000	0.0893962 	16.000000	0.103303  	16.000000	0.102247  	16.000000	0.102414  	16.000000	0.103254  	16.000000	4.90521e-05	
17.000000	0.0851032 	17.000000	0.0983107 	17.000000	0.0971986 	17.000000	0.0973676 	17.000000	0.0982643 	17.000000	4.64404e-05	
18.000000	0.0812414 	18.000000	0.0938165 	18.000000	0.0926749 	18.000000	0.0928416 	18.000000	0.0937724 	18.000000	4.4104e-05	
19.000000	0.0777479 	19.000000	0.0897487 	19.000000	0.088599  	19.000000	0.0887606 	19.000000	0.0897067 	19.000000	4.20012e-05	
20.000000	0.0745716 	20.000000	0.0860487 	20.000000	0.084907  	20.000000	0.0850635 	20.000000	0.0860086 	20.000000	4.00979e-05	
21.000000	0.0716705 	21.000000	0.0826685 	21.000000	0.0815489 	21.000000	0.0816999 	21.000000	0.0826301 	21.000000	3.83668e-05	
22.000000	0.0690098 	22.000000	0.0795677 	22.000000	0.0784846 	22.000000	0.078628  	22.000000	0.079531  	22.000000	3.67851e-05	
23.000000	0.0665602 	23.000000	0.0767128 	23.000000	0.075678  	23.000000	0.0758125 	23.000000	0.0766775 	23.000000	3.53341e-05	
24.000000	0.0642972 	24.000000	0.0740753 	24.000000	0.0730972 	24.000000	0.0732239 	24.000000	0.0740413 	24.000000	3.39979e-05	
25.000000	0.0621998 	25.000000	0.071631  	25.000000	0.0707169 	25.000000	0.0708369 	25.000000	0.0715982 	25.000000	3.27633e-05	
27.000000	0.0584333 	27.000000	0.0672419 	27.000000	0.066479  	27.000000	0.0665845 	27.000000	0.0672113 	27.000000	3.05551e-05	
29.000000	0.0551452 	29.000000	0.0634113 	29.000000	0.0628286 	29.000000	0.0629155 	29.000000	0.0633827 	29.000000	2.8637e-05	
31.000000	0.0522484 	31.000000	0.0600379 	31.000000	0.0595897 	31.000000	0.0596568 	31.000000	0.0600109 	31.000000	2.69545e-05	
33.000000	0.0496758 	33.000000	0.0570434 	33.000000	0.0566576 	33.000000	0.0567088 	33.000000	0.057018  	33.000000	2.54663e-05	
35.000000	0.047375  	35.000000	0.0543667 	35.000000	0.0540406 	35.000000	0.0540718 	35.000000	0.0543426 	35.000000	2.41401e-05	
38.000000	0.0443446 	38.000000	0.0508437 	38.000000	0.0505871 	38.000000	0.0505982 	38.000000	0.0508213 	38.000000	2.24004e-05	
41.000000	0.0417258 	41.000000	0.047802  	41.000000	0.0475996 	41.000000	0.0475959 	41.000000	0.0477811 	41.000000	2.09035e-05	
44.000000	0.0394387 	44.000000	0.0451481 	44.000000	0.0449843 	44.000000	0.0449737 	44.000000	0.0451285 	44.000000	1.96015e-05	
47.000000	0.037423  	47.000000	0.0428114 	47.000000	0.0426813 	47.000000	0.0426627 	47.000000	0.042793  	47.000000	1.8458e-05	
50.000000	0.0356321 	50.000000	0.0407377 	50.000000	0.0406383 	50.000000	0.0406096 	50.000000	0.0407202 	50.000000	1.74455e-05	
55.000000	0.0330519 	55.000000	0.0377542 	55.000000	0.0376879 	55.000000	0.0376521 	55.000000	0.0377382 	55.000000	1.59925e-05	
60.000000	0.0308728 	60.000000	0.0352393 	60.000000	0.0351958 	60.000000	0.0351554 	60.000000	0.0352245 	60.000000	1.47711e-05	
65.000000	0.0290065 	65.000000	0.0330894 	65.000000	0.0330654 	65.000000	0.0330183 	65.000000	0.0330757 	65.000000	1.37294e-05	
70.000000	0.0273889 	70.000000	0.0312297 	70.000000	0.0312153 	70.000000	0.0311673 	70.000000	0.0312168 	70.000000	1.28299e-05	
75.000000	0.0259724 	75.000000	0.0296044 	75.000000	0.0296015 	75.000000	0.0295479 	75.000000	0.0295924 	75.000000	1.20452e-05	
80.000000	0.024721  	80.000000	0.0281715 	80.000000	0.0281737 	80.000000	0.0281187 	80.000000	0.0281602 	80.000000	1.13543e-05	
85.000000	0.0236068 	85.000000	0.0268983 	85.000000	0.0269034 	85.000000	0.0268476 	85.000000	0.0268876 	85.000000	1.07411e-05	
90.000000	0.022608  	90.000000	0.0257593 	90.000000	0.025766  	90.000000	0.0257096 	90.000000	0.0257492 	90.000000	1.01931e-05	
95.000000	0.0217072 	95.000000	0.0247342 	95.000000	0.0247415 	95.000000	0.0246845 	95.000000	0.0247245 	95.000000	9.70031e-06	
100.000000	0.0208902 	100.000000	0.0238064 	100.000000	0.0238135 	100.000000	0.0237562 	100.000000	0.0237972 	100.000000	9.25466e-06	
105.000000	0.0201457 	105.000000	0.0229627 	105.000000	0.0229691 	105.000000	0.0229115 	105.000000	0.0229538 	105.000000	8.84962e-06	
110.000000	0.0194641 	110.000000	0.022192  	110.000000	0.0221972 	110.000000	0.0221394 	110.000000	0.0221835 	110.000000	8.47982e-06	
115.000000	0.0188377 	115.000000	0.0214851 	115.000000	0.0214893 	115.000000	0.021431  	115.000000	0.0214769 	115.000000	8.14079e-06	
120.000000	0.0182599 	120.000000	0.0208343 	120.000000	0.0208357 	120.000000	0.0207786 	120.000000	0.0208265 	120.000000	7.82881e-06	
125.000000	0.017725  	125.000000	0.0202333 	125.000000	0.0202311 	125.000000	0.0201757 	125.000000	0.0202257 	125.000000	7.54072e-06	
