*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	1.04951   	0.001000	0.161937  	0.001000	0.141145  	0.001000	0.141145  	0.001000	0.117631  	0.001000	0.0443058 	
0.002000	1.17479   	0.002000	0.206808  	0.002000	0.180826  	0.002000	0.180826  	0.002000	0.162932  	0.002000	0.0438759 	
0.005000	1.45885   	0.005000	0.288399  	0.005000	0.254303  	0.005000	0.254303  	0.005000	0.250633  	0.005000	0.0377663 	
0.008000	1.67454   	0.008000	0.34535   	0.008000	0.30666   	0.008000	0.30666   	0.008000	0.31259   	0.008000	0.0327603 	
0.010000	1.79652   	0.010000	0.377315  	0.010000	0.33639   	0.010000	0.33639   	0.010000	0.347154  	0.010000	0.0301611 	
0.015000	2.10092   	0.015000	0.445389  	0.015000	0.400407  	0.015000	0.400407  	0.015000	0.420035  	0.015000	0.0253544 	
0.020000	2.34133   	0.020000	0.509262  	0.020000	0.464348  	0.020000	0.464348  	0.020000	0.487223  	0.020000	0.0220395 	
0.025000	2.60447   	0.025000	0.571736  	0.025000	0.530862  	0.025000	0.530862  	0.025000	0.55214   	0.025000	0.0195961 	
0.030000	2.82582   	0.030000	0.630557  	0.030000	0.582135  	0.030000	0.582135  	0.030000	0.612848  	0.030000	0.0177085 	
0.035000	2.98301   	0.035000	0.686038  	0.035000	0.631033  	0.035000	0.631033  	0.035000	0.669839  	0.035000	0.016199  	
0.040000	3.09975   	0.040000	0.731699  	0.040000	0.677662  	0.040000	0.677662  	0.040000	0.716739  	0.040000	0.0149597 	
0.045000	3.18109   	0.045000	0.774083  	0.045000	0.722094  	0.045000	0.722094  	0.045000	0.760162  	0.045000	0.013921  	
0.050000	3.22981   	0.050000	0.813976  	0.050000	0.764387  	0.050000	0.764387  	0.050000	0.800941  	0.050000	0.0130357 	
0.055000	3.35081   	0.055000	0.851511  	0.055000	0.804593  	0.055000	0.804593  	0.055000	0.839241  	0.055000	0.0122707 	
0.060000	3.45183   	0.060000	0.886802  	0.060000	0.842767  	0.060000	0.842767  	0.060000	0.8752    	0.060000	0.0116019 	
0.070000	3.6006    	0.070000	0.951058  	0.070000	0.913243  	0.070000	0.913243  	0.070000	0.940572  	0.070000	0.0104858 	
0.080000	3.7657    	0.080000	1.00753   	0.080000	0.976297  	0.080000	0.976297  	0.080000	0.997941  	0.080000	0.00958877	
0.090000	3.88887   	0.090000	1.05697   	0.090000	1.03245   	0.090000	1.03245   	0.090000	1.04812   	0.090000	0.00884967	
0.100000	3.98128   	0.100000	1.10011   	0.100000	1.08226   	0.100000	1.08226   	0.100000	1.09188   	0.100000	0.00822868	
0.120000	4.01339   	0.120000	1.17015   	0.120000	1.16496   	0.120000	1.16496   	0.120000	1.16298   	0.120000	0.00717151	
0.140000	4.03555   	0.140000	1.23003   	0.140000	1.22879   	0.140000	1.22879   	0.140000	1.2236    	0.140000	0.00642553	
0.160000	4.04505   	0.160000	1.27557   	0.160000	1.27742   	0.160000	1.27742   	0.160000	1.26973   	0.160000	0.00583344	
0.180000	4.05511   	0.180000	1.30916   	0.180000	1.31405   	0.180000	1.31405   	0.180000	1.30381   	0.180000	0.0053508 	
0.200000	4.07014   	0.200000	1.33377   	0.200000	1.34128   	0.200000	1.34128   	0.200000	1.32882   	0.200000	0.00494897	
0.250000	4.02216   	0.250000	1.37727   	0.250000	1.38077   	0.250000	1.38077   	0.250000	1.37308   	0.250000	0.00418495	
0.300000	4.00651   	0.300000	1.40329   	0.300000	1.39521   	0.300000	1.39521   	0.300000	1.39965   	0.300000	0.00364119	
0.350000	3.99544   	0.350000	1.41889   	0.350000	1.39693   	0.350000	1.39693   	0.350000	1.41566   	0.350000	0.00323242	
0.400000	4.01496   	0.400000	1.43832   	0.400000	1.40328   	0.400000	1.40328   	0.400000	1.43541   	0.400000	0.00291281	
0.450000	4.02307   	0.450000	1.45364   	0.450000	1.40133   	0.450000	1.40133   	0.450000	1.45098   	0.450000	0.00265537	
0.500000	4.018     	0.500000	1.46231   	0.500000	1.3942    	0.500000	1.3942    	0.500000	1.45986   	0.500000	0.00244314	
0.600000	3.85446   	0.600000	1.47491   	0.600000	1.3697    	0.600000	1.3697    	0.600000	1.4728    	0.600000	0.00211281	
0.700000	3.61928   	0.700000	1.45657   	0.700000	1.33749   	0.700000	1.33749   	0.700000	1.4547    	0.700000	0.00186668	
0.800000	3.48455   	0.800000	1.41545   	0.800000	1.30443   	0.800000	1.30443   	0.800000	1.41378   	0.800000	0.00167557	
0.900000	3.35064   	0.900000	1.37359   	0.900000	1.27158   	0.900000	1.27158   	0.900000	1.37207   	0.900000	0.0015225 	
1.000000	3.21901   	1.000000	1.33139   	1.000000	1.23944   	1.000000	1.23944   	1.000000	1.33      	1.000000	0.0013969 	
1.250000	2.91142   	1.250000	1.23256   	1.250000	1.16005   	1.250000	1.16005   	1.250000	1.2314    	1.250000	0.00116267	
