*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	1.24825   	0.001000	0.171314  	0.001000	0.151374  	0.001000	0.151374  	0.001000	0.115911  	0.001000	0.0554028 	
0.002000	1.37747   	0.002000	0.214357  	0.002000	0.189531  	0.002000	0.189531  	0.002000	0.16055   	0.002000	0.0538072 	
0.005000	1.69328   	0.005000	0.292042  	0.005000	0.25967   	0.005000	0.25967   	0.005000	0.246968  	0.005000	0.0450731 	
0.008000	1.93877   	0.008000	0.346625  	0.008000	0.310051  	0.008000	0.310051  	0.008000	0.308019  	0.008000	0.0386061 	
0.010000	2.07835   	0.010000	0.377429  	0.010000	0.338835  	0.010000	0.338835  	0.010000	0.342078  	0.010000	0.0353504 	
0.015000	2.42802   	0.015000	0.44335   	0.015000	0.401148  	0.015000	0.401148  	0.015000	0.413893  	0.015000	0.0294564 	
0.020000	2.70464   	0.020000	0.504342  	0.020000	0.46357   	0.020000	0.46357   	0.020000	0.478875  	0.020000	0.0254674 	
0.025000	3.00783   	0.025000	0.563668  	0.025000	0.528912  	0.025000	0.528912  	0.025000	0.541108  	0.025000	0.0225598 	
0.030000	3.26296   	0.030000	0.619713  	0.030000	0.577243  	0.030000	0.577243  	0.030000	0.599383  	0.030000	0.0203304 	
0.035000	3.44413   	0.035000	0.672787  	0.035000	0.623495  	0.035000	0.623495  	0.035000	0.654229  	0.035000	0.0185573 	
0.040000	3.57868   	0.040000	0.716634  	0.040000	0.667761  	0.040000	0.667761  	0.040000	0.699526  	0.040000	0.0171077 	
