*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
0.001000	0.212825  	0.001000	0.212825  	0.001000	0.233199  	0.001000	0.233199  	0.001000	0         	0.001000	0         	0.001000	0.00185577	0.001000	0.00268094	0.001000	0.00168475	
0.002000	0.428837  	0.002000	0.425649  	0.002000	0.466398  	0.002000	0.466398  	0.002000	0.0473304 	0.002000	0.0473304 	0.002000	0.00543859	0.002000	0.00759478	0.002000	0.0050411 	
0.005000	0.802925  	0.005000	0.794218  	0.005000	0.873327  	0.005000	0.873327  	0.005000	0.0510309 	0.005000	0.0510309 	0.005000	0.0133706 	0.005000	0.0184079 	0.005000	0.0124675 	
0.008000	1.04726   	0.008000	1.03495   	0.008000	1.14023   	0.008000	1.14023   	0.008000	0.0510775 	0.008000	0.0510775 	0.008000	0.0194343 	0.008000	0.0257104 	0.008000	0.0181852 	
0.010000	1.17968   	0.010000	1.16541   	0.010000	1.28509   	0.010000	1.28509   	0.010000	0.051208  	0.010000	0.051208  	0.010000	0.0231181 	0.010000	0.0295505 	0.010000	0.0216686 	
0.015000	1.45099   	0.015000	1.43272   	0.015000	1.58504   	0.015000	1.58504   	0.015000	0.0517449 	0.015000	0.0517449 	0.015000	0.0316297 	0.015000	0.0376049 	0.015000	0.0300057 	
0.020000	1.67605   	0.020000	1.65446   	0.020000	1.8319    	0.020000	1.8319    	0.020000	0.0523683 	0.020000	0.0523683 	0.020000	0.0389876 	0.020000	0.0446255 	0.020000	0.0375212 	
0.025000	1.87344   	0.025000	1.84894   	0.025000	2.0461    	0.025000	2.0461    	0.025000	0.0529773 	0.025000	0.0529773 	0.025000	0.0456565 	0.025000	0.051108  	0.025000	0.0443284 	
0.030000	2.05078   	0.030000	2.02366   	0.030000	2.22871   	0.030000	2.22871   	0.030000	0.0534705 	0.030000	0.0534705 	0.030000	0.0517162 	0.030000	0.0570187 	0.030000	0.0504728 	
0.035000	2.21308   	0.035000	2.18356   	0.035000	2.38731   	0.035000	2.38731   	0.035000	0.053863  	0.035000	0.053863  	0.035000	0.0573328 	0.035000	0.0624667 	0.035000	0.0561363 	
0.040000	2.36389   	0.040000	2.33215   	0.040000	2.53319   	0.040000	2.53319   	0.040000	0.0542188 	0.040000	0.0542188 	0.040000	0.0627456 	0.040000	0.0677179 	0.040000	0.0616036 	
0.045000	2.50577   	0.045000	2.47194   	0.045000	2.67094   	0.045000	2.67094   	0.045000	0.0545575 	0.045000	0.0545575 	0.045000	0.0680978 	0.045000	0.0728813 	0.045000	0.0670048 	
0.050000	2.64058   	0.050000	2.60475   	0.050000	2.80263   	0.050000	2.80263   	0.050000	0.0548855 	0.050000	0.0549476 	0.050000	0.0733561 	0.050000	0.0779758 	0.050000	0.0723142 	
0.055000	2.76969   	0.055000	2.73196   	0.055000	2.92944   	0.055000	2.92944   	0.055000	0.0552048 	0.055000	0.055353  	0.055000	0.0785979 	0.055000	0.0830604 	0.055000	0.0776035 	
0.060000	2.89414   	0.060000	2.85457   	0.060000	3.05215   	0.060000	3.05215   	0.060000	0.0555166 	0.060000	0.0557389 	0.060000	0.0838222 	0.060000	0.0881519 	0.060000	0.0828722 	
0.070000	3.1321    	0.070000	3.08903   	0.070000	3.2876    	0.070000	3.2876    	0.070000	0.0561219 	0.070000	0.056465  	0.070000	0.0936472 	0.070000	0.0978212 	0.070000	0.0927677 	
0.080000	3.35911   	0.080000	3.31269   	0.080000	3.51269   	0.080000	3.51269   	0.080000	0.0567088 	0.080000	0.057146  	0.080000	0.102871  	0.080000	0.106991  	0.080000	0.102051  	
0.090000	3.57824   	0.090000	3.52857   	0.090000	3.73004   	0.090000	3.73004   	0.090000	0.0572844 	0.090000	0.0577962 	0.090000	0.111508  	0.090000	0.115619  	0.090000	0.110723  	
0.100000	3.79162   	0.100000	3.73881   	0.100000	3.94164   	0.100000	3.94164   	0.100000	0.0578544 	0.100000	0.0584259 	0.100000	0.119307  	0.100000	0.123497  	0.100000	0.118536  	
0.120000	4.20711   	0.120000	4.14817   	0.120000	4.35317   	0.120000	4.35317   	0.120000	0.0589973 	0.120000	0.0596542 	0.120000	0.133623  	0.120000	0.138061  	0.120000	0.132877  	
0.140000	4.61425   	0.140000	4.5493    	0.140000	4.75572   	0.140000	4.75572   	0.140000	0.0601688 	0.140000	0.0608757 	0.140000	0.146351  	0.140000	0.151083  	0.140000	0.145606  	
0.160000	5.01843   	0.160000	4.94752   	0.160000	5.15465   	0.160000	5.15465   	0.160000	0.0613919 	0.160000	0.0621191 	0.160000	0.157508  	0.160000	0.162583  	0.160000	0.156755  	
0.180000	5.42321   	0.180000	5.34633   	0.180000	5.55354   	0.180000	5.55354   	0.180000	0.0626836 	0.180000	0.0634041 	0.180000	0.167077  	0.180000	0.172542  	0.180000	0.166309  	
0.200000	5.83102   	0.200000	5.74812   	0.200000	5.95484   	0.200000	5.95484   	0.200000	0.0640574 	0.200000	0.0647447 	0.200000	0.175071  	0.200000	0.180953  	0.200000	0.174284  	
0.250000	6.87374   	0.250000	6.77545   	0.250000	6.97882   	0.250000	6.97882   	0.250000	0.0679135 	0.250000	0.068399  	0.250000	0.195996  	0.250000	0.202845  	0.250000	0.195173  	
0.300000	7.96046   	0.300000	7.84613   	0.300000	8.04356   	0.300000	8.04356   	0.300000	0.0724493 	0.300000	0.0725522 	0.300000	0.215961  	0.300000	0.223744  	0.300000	0.215104  	
0.350000	9.09818   	0.350000	8.96706   	0.350000	9.15638   	0.350000	9.15638   	0.350000	0.077717  	0.350000	0.0772427 	0.350000	0.23331   	0.350000	0.242094  	0.350000	0.232422  	
0.400000	10.29     	0.400000	10.1413   	0.400000	10.3207   	0.400000	10.3207   	0.400000	0.0837328 	0.400000	0.0824773 	0.400000	0.250815  	0.400000	0.260563  	0.400000	0.249898  	
